id,machine_tag,full_name,surname,type,born_in,died_in,age,sex,ethnicity,roles,primary_role,clergy?,mother,mother_id,father,father_id,wikidata_id,en_wikipedia_url,dbpedia_uri,find_a_grave_url,plaques_count
2121,openplaques:subject:id=2121,King Charles I of England,Charles I,man,1600,1649,48,male,,"[""Prince of Wales"", ""husband"", ""father"", ""son"", ""uncle"", ""King of England"", ""King of Scots""]",King of England,false,,,King James I of England,6413,Q81506,https://en.wikipedia.org/wiki/Charles_I_of_England,http://dbpedia.org/resource/Charles_I_of_England,,1
26135,openplaques:subject:id=26135,"The Talbot, Tetbury",Tetbury,place,1580,,442,object,,"[""public house""]",public house,false,,,,,,,,,1
26136,openplaques:subject:id=26136,Tetbury Gas Company,Company,group,,,unknown,object,,"[""company""]",company,false,,,,,,,,,1
26137,openplaques:subject:id=26137,"The Ormond, Tetbury",Tetbury,place,,,unknown,object,,"[""inn""]",inn,false,,,,,,,,,1
26132,openplaques:subject:id=26132,Alderman Newtons School,School,man,,,unknown,object,"",[],,false,,,,,,,,,1
26131,openplaques:subject:id=26131,Thomas Leaper,Leaper,man,,,unknown,male,,[],,false,,,,,,,,,1
26130,openplaques:subject:id=26130,Derby Co-operative and Provident Society,Society,man,,,unknown,object,"",[],,false,,,,,,,,,1
26129,openplaques:subject:id=26129,Sefton Village,Village,man,,,unknown,object,"",[],,false,,,,,,,,,1
26128,openplaques:subject:id=26128,Greenwich foot tunnel,tunnel,man,1902,,120,object,"",[],,false,,,,,Q935104,https://en.wikipedia.org/wiki/Greenwich_foot_tunnel,http://dbpedia.org/resource/Greenwich_foot_tunnel,,1
26127,openplaques:subject:id=26127,Royal Mail Special Stamps,Stamps,man,,,unknown,object,"",[],,false,,,,,,,,,1
551,openplaques:subject:id=551,John Wesley MA,Wesley,man,1703,1791,88,male,,"[""evangelist"", ""founder of Methodism"", ""Master of Arts"", ""son""]",evangelist,false,Susanna Annesley,3822,Samuel Wesley,10436,Q213393,https://en.wikipedia.org/wiki/John_Wesley,http://dbpedia.org/resource/John_Wesley,,1
