id,machine_tag,full_name,surname,type,born_in,died_in,age,sex,ethnicity,roles,primary_role,clergy?,mother,mother_id,father,father_id,wikidata_id,en_wikipedia_url,dbpedia_uri,find_a_grave_url,plaques_count
23710,openplaques:subject:id=23710,Jeremy Lloyd OBE,Lloyd,man,1930,2014,84,male,"","[""poet"", ""writer"", ""actor"", ""wit"", ""Officer of the Most Excellent Order of the British Empire""]",,false,,,,,Q2805798,https://en.wikipedia.org/wiki/Jeremy_Lloyd,http://dbpedia.org/resource/Jeremy_Lloyd,,1
23665,openplaques:subject:id=23665,Hebra Guemilut Hassadim,Hassadim,group,1665,,355,object,,"[""benevolent society""]",benevolent society,false,,,,,,,,,1
23664,openplaques:subject:id=23664,Charles Fuge Lowder,Lowder,man,,,unknown,male,,"[""vicar""]",vicar,false,,,,,,,,,1
23663,openplaques:subject:id=23663,Myddelton Square,Square,man,,,unknown,object,,[],,false,,,,,Q23304812,https://en.wikipedia.org/wiki/Myddelton_Square,http://dbpedia.org/resource/Myddelton_Square,,1
23662,openplaques:subject:id=23662,His Highness the Hon Maharajah Meerza Vijiaram Gajapati Raj Manea Sooltan Bahadoor of Vijianagram,Vijianagram,man,,,unknown,male,,[],,false,,,,,,,,,1
23671,openplaques:subject:id=23671,Bexleyheath Coronation Memorial Clock Tower,Bexleyheath Coronation Memorial Clock Tower,thing,1912,,108,object,,"[""clock tower""]",clock tower,false,,,,,,,,,1
23653,openplaques:subject:id=23653,William Bengo Collyer,Collyer,man,1782,1854,72,male,,"[""Minister"", ""congregationalist""]",,false,,,,,Q5611049,https://en.wikipedia.org/wiki/William_Bengo'_Collyer,http://dbpedia.org/resource/William_Bengo'_Collyer,,1
23654,openplaques:subject:id=23654,Hanover Chapel,Chapel,place,1717,1910,193,object,,"[""chapel""]",chapel,false,,,,,Q29507697,,,,1
23652,openplaques:subject:id=23652,Stoke Newington Town Hall,Hall,place,,,unknown,object,,"[""town hall""]",town hall,false,,,,,Q26545214,https://en.wikipedia.org/wiki/Stoke_Newington_Town_Hall,http://dbpedia.org/resource/Stoke_Newington_Town_Hall,,1
23648,openplaques:subject:id=23648,John Campbell Road,Road,man,,,unknown,object,,[],,false,,,,,,,,,1
23647,openplaques:subject:id=23647,Fred Hayes,Hayes,man,,,unknown,male,,[],,false,,,,,,,,,1
23645,openplaques:subject:id=23645,Dido Elizabeth Belle,Belle,man,1761,1804,43,male,,[],,false,,,,,Q3027251,https://en.wikipedia.org/wiki/Dido_Elizabeth_Belle,http://dbpedia.org/resource/Dido_Elizabeth_Belle,,1
23646,openplaques:subject:id=23646,"William Murray, 1st Earl of Mansfield",Mansfield,man,1705,1793,88,male,,[],,false,,,,,Q869340,"https://en.wikipedia.org/wiki/William_Murray,_1st_Earl_of_Mansfield","http://dbpedia.org/resource/William_Murray,_1st_Earl_of_Mansfield",,1
23692,openplaques:subject:id=23692,Gretel Hinrichsen,Hinrichsen,woman,,,unknown,female,,"[""shopkeeper""]",shopkeeper,false,,,,,,,,,1
555,openplaques:subject:id=555,Christina Rossetti,Rossetti,woman,1830,1894,64,female,,"[""poet"", ""daughter""]",poet,false,Frances Mary Lavinia Polidori,16736,Gabriele Pasquale Giuseppe Rossetti,16735,Q236596,https://en.wikipedia.org/wiki/Christina_Rossetti,http://dbpedia.org/resource/Christina_Rossetti,,1
582,openplaques:subject:id=582,Samuel Pepys PRS,Pepys,man,1633,1703,70,male,,"[""President of the Royal Society"", ""diarist"", ""Secretary of the Admiralty"", ""Member of Parliament"", ""son""]",,false,,,John Pepys,18565,Q106143,https://en.wikipedia.org/wiki/Samuel_Pepys,http://dbpedia.org/resource/Samuel_Pepys,,1
2422,openplaques:subject:id=2422,King Charles II of England,Charles II,man,1630,1685,55,male,,"[""husband"", ""father"", ""son"", ""King of England"", ""King of Scots""]",,false,,,King Charles I of England,2121,Q122553,https://en.wikipedia.org/wiki/Charles_II_of_England,http://dbpedia.org/resource/Charles_II_of_England,,1
4684,openplaques:subject:id=4684,Nell Gwynne,Gwynne,woman,1650,1687,37,female,,"[""actress"", ""wit"", ""hostess"", ""mother"", ""mistress""]",,false,,,,,Q234163,https://en.wikipedia.org/wiki/Nell_Gwyn,http://dbpedia.org/resource/Nell_Gwyn,,1
20042,openplaques:subject:id=20042,Duke Charles Beauclerk,Beauclerk,man,1670,1726,56,male,,"[""father"", ""son"", ""Duke of St Albans""]",Duke of St Albans,false,Nell Gwynne,4684,King Charles II of England,2422,Q135152,"https://en.wikipedia.org/wiki/Charles_Beauclerk,_1st_Duke_of_St_Albans","http://dbpedia.org/resource/Charles_Beauclerk,_1st_Duke_of_St_Albans",,1
640,openplaques:subject:id=640,The Pre-Raphaelite Brotherhood,Pre-Raphaelite Brotherhood,group,1848,,172,object,,"[""brotherhood""]",brotherhood,false,,,,,Q184814,https://en.wikipedia.org/wiki/Pre-Raphaelite_Brotherhood,http://dbpedia.org/resource/Pre-Raphaelite_Brotherhood,,1
2540,openplaques:subject:id=2540,Sir John Everett Millais PRA 1st Baronet,Millais,man,1829,1896,67,male,,"[""artist"", ""President of the Royal Academy"", ""President of the Birmingham Society of Artists"", ""Baronet Millais of Palace Gate and St Ouen""]",,false,,,,,Q159606,https://en.wikipedia.org/wiki/John_Everett_Millais,http://dbpedia.org/resource/John_Everett_Millais,,1
8996,openplaques:subject:id=8996,Elizabeth Siddal,Siddal,woman,1829,1862,33,female,,"[""poet"", ""Pre-Raphaelite artist"", ""wife""]",,false,,,,,Q465000,https://en.wikipedia.org/wiki/Elizabeth_Siddal,http://dbpedia.org/resource/Elizabeth_Siddal,,1
23644,openplaques:subject:id=23644,Stella Dorothea Gibbons,Gibbons,woman,1902,1989,87,female,,[],,false,,,,,Q1252645,https://en.wikipedia.org/wiki/Stella_Gibbons,http://dbpedia.org/resource/Stella_Gibbons,,1
